NAT_KEY,NAT_KEY_ID,CLIENT 1,CLIENT 2,CLIENT 3,CLIENT 4,CLIENT 5,CLIENT 6
PRODUCT_GLOBAL_SCD,40,DIMSRC,HOMESCN,PNLDIMSRC,CARREFOUR,,
PRODUCT_GLOBAL_SCD,73,THECOOPGROUP,CASINO,,,,
