PRODUCT,2,VARIABLE,Y,N
PERIOD,3,VARIABLE,Y,N
STORE,6,VARIABLE,Y,N
BASKET,8,VARIABLE,Y,N
HOUSEHOLD,9,VARIABLE,Y,N
IDENTIFYING_CARD,11,VARIABLE,Y,N
PROMOTION,39,VARIABLE,Y,N
PROMODETAIL,40,VARIABLE,Y,N
