Exception Name,Subscriber,?,?,Datafile,Process Location,?
CHECK_CUST_ADPTR,HSC,TMVU,HBSU,TRIP_MISSION_VALUE_SPV_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TSVU,HBSU,TRIP_SIZE_VALUE_SPV_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TMU,HBSU,TRIP_MISSION_SPV_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TMVMA,HBSMA,TRIP_MISSION_VALUE_MAS_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TSVMA,HBSMA,TRIP_SIZE_VALUE_MAS_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TMMA,HBSMA,TRIP_MISSION_MAS_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,PRCHRSTCA,PRCHRSTCA,restate_purch_%%%%_%%%%.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TRIPRSTCA,TRIPRSTCA,trip%refresh.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,NON,NON,NON_ARCH_%.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,TPD,TPD,TPD_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,N
CHECK_CUST_ADPTR,LCD,PCR,PCR,PCR_NONSTD_LCD_%%%%%%%%.dat,Check Custom Adapter Needed,N
CHECK_CUST_ADPTR,LCD,PRM,PRM,PRM_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,PST,PRM,PST_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,PRC,PRM,PRC_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,SCH,SCH,SCH_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,OOS,OOS,OOS_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,PRMODTL,PRMODTL,PMOD_%%%_%%%%%%%%%%%%%%.dat.gz,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,PRMTN,PRMTN,PMO_%%%_%%%%%%%%%%%%%%.dat.gz,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,PRMDTL,PRMTN,PMD_%%%_%%%%%%%%%%%%%%.dat.gz,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,PRMO,PRMO,PRMO_%%%_%%%%%%%%%%%%%%.dat.gz,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,PRDCCGRP,PRDCCGRP,,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,PODCGRP,PODCGRP,,Check Custom Adapter Needed,Y
CHECK_FILE_CONTS,CRF,PROUPCS,PROCHR,carr_pro_ean_sirval.CSV,Add to File contents,N
CHECK_FILE_CONTS,CRF,PROCHARS,PROCHR,carr_pro_chars_sirval.CSV,Add to File contents,N
CHECK_FILE_CONTS,NLS,PRODHSTRY,PRODHSTRY,PROD_PRO_HISTORY_EXTRACT.TXT,Add to File contents,N
CHECK_FILE_CONTS,NLS,PROUPCS,PROCHR,pro_upcs.txt,Add to File contents,N
CHECK_FILE_CONTS,NLS,PROCHARS,PROCHR,pro_chars.txt,Add to File contents,N
CHECK_FILE_CONTS,NLS,MRKT,MRKT,%_mrkt_2%.txt,Add to File contents,N
CHECK_FILE_CONTS,NLS,MRKT_CHRS,MRKT,%_mrkt_chrs_%.txt,Add to File contents,N
CHECK_FILE_CONTS,NLS,MRKT_POD,MRKT,%_mrkt_pod_rltd_%.txt,Add to File contents,N
CHECK_FILE_CONTS,NLS,POD,MRKT,%_pod_2%.txt,Add to File contents,N
CHECK_FILE_CONTS,NLS,POD_CHRS,MRKT,%_pod_chrs_%.txt,Add to File contents,N
CHECK_FILE_CONTS,SFW,NON,NON,NON_ARCH_%.txt,Add to File contents,N
CHECK_FILE_CONTS,SFW,TPD,TPD,TPD_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,SFW,PCR,PCR,PCR_NONSTD_SFW_%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,HHB,HHH,%.%_%.bgrp,Add to File contents,N
CHECK_FILE_CONTS,HSC,HHF,HHH,%.%_%.fam,Add to File contents,N
CHECK_FILE_CONTS,HSC,HHX,HHH,%_%.xml,Add to File contents,N
CHECK_FILE_CONTS,SFW,PRM,PRM,PRM_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,SFW,PST,PRM,PST_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,SFW,PRC,PRM,PRC_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,SFW,SCH,SCH,SCH_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,SFW,OOS,OOS,OOS_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,MRKTCA,MRKTCA,market_input.csv,Add to File contents,N
CHECK_FILE_CONTS,HSC,RTLOTLDMAP,RTLOTLTCA,Retailoutletdimensionmapping.txt,Add to File contents,N
CHECK_FILE_CONTS,HSC,RTLOTLSTR,RTLOTLTCA,Outlet_Store_Type.txt,Add to File contents,N
CHECK_FILE_CONTS,HSC,PNLTRIPCA,PNLTRIPCA,trip_%.txt,Add to File contents,N
CHECK_FILE_CONTS,HSC,PNLPRCHCA,PNLTRIPCA,purch_%.txt,Add to File contents,N
CHECK_FILE_CONTS,HSC,PNLDMGCA,PNLDMGCA,mstr_%.txt,Add to File contents,N
CHECK_FILE_CONTS,HSC,PRJCCA,PRJCCA,fam_%.txt,Add to File contents,N
CHECK_FILE_CONTS,HSC,PRJCCAK,PRJCCAK,K%%_%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,PRJCCAM,PRJCCAM,M%%_%%%%.dat,Add to File contents,N
