CRF,PRS,PRS,PRODUCT_SEGMENT,N         ,,100,N,
CRF,NON,NON,NONSTD_ARCH TEST,N         ,,100,Y,
CRF,RGP,RGP,RGP,N         ,RGR,100,Y,
CRF,RGP_RSTMT,RGR,RGP_RESTATEMENT,N         ,,100,Y,
CRF,LNE,LNE,LANE,N         ,,100,Y,
CRF,PRM,PRM,PROMOTION FILES,N         ,,100,N,
CRF,PRM,PST,PROMOTION STORE ITEM FILES,N         ,,100,N,
CRF,PRM,PRC,PROMOTION C FILES,N         ,,100,N,
CRF,SCH,SCH,SCHEMATIC FILES,N         ,,100,Y,
CRF,OOS,OOS,OUT OF STOCK FILES,N         ,,100,Y,
HSC,HHH,HHB,HOME_SCAN,N         ,,100,N,
HSC,HHH,HHF,HOME_SCAN,N         ,,100,N,
HSC,HHH,HHX,HOME_SCAN,N         ,,100,N,
HSC,HHS,HHS,HOUSEHOLD_SEGMENT,N         ,HHR,100,N,
HSC,HHS_RSTMT,HHR,HOUSEHOLD_SEGMENT_RESTATEMENT,Y,,100,N,
HSC,BKSK,BKSK,BASKET_SEGMENT,N         ,,100,N,
HSC,BKM,BKM,BASKET_SEGMENT_MONDELEZ,N         ,,100,N,
HSC,STTYP,STTYP,PANEL STATIC TYPE,N,,100,Y,
HSC,TRPTYP,TRPTYP,TRIP TYPE,N,,100,Y,
HSC,MRKTCA,MRKTCA,MARKET,N,,100,N,
HSC,MRKT,MKTPNL,MARKET TYPE RELATED,N,,100,Y,
HSC,MRKT,PNLTYP,PANELIST TYPE,N,,100,Y,
HSC,MRKT,MKTSMM,MARKET NHS RELATED,N,,100,Y,
HSC,RTLOTLTCA,RTLOTLDMAP,RETAIL OUTLET DIMENSION MAP,N,,100,N,
HSC,RTLOTLTCA,RTLOTLDEF,RETAIL OUTLET DEFINITION,N,,100,N,
HSC,RTLOTLTCA,RTLOTLSTR,RETAIL OUTLET STORE TYPE,N,,100,N,
HSC,RTLOTLT,OTLTMSTR,OUTLET MASTER,N,,100,Y,Y
HSC,RTLOTLT,OTLTNHSR,OUTLET NHS RELATED,N,,100,Y,Y
HSC,PNLTRIPCA,PNLTRIPCA,PANEL TRIP,N,,100,N,N
HSC,PNLTRIPCA,PNLPRCHCA,PANEL PURCHASE,N,,100,N,Y
HSC,PNLTRIP,TRIP,STANDARDIZED PANEL TRIP,N,,100,Y,Y
HSC,PNLTRIP,PRCH,STANDARDIZED PANEL PURCHASE,N,,100,Y,Y
HSC,PNLDMGCA,PNLDMGCA,PANELIST DEMOGRAPHIC,N,,100,N,N
HSC,DMG,DMG,STANDARDIZED PANELIST DEMOGRAPHIC,N,,100,Y,N
HSC,PRJCCA,PRJCCA,PROJECTION OR FAMILY,N,,100,N,N
HSC,PRJCCAK,PRJCCAK,PROJECTION KRA,N,,100,N,Y
HSC,PRJCCAM,PRJCCAM,PROJECTION MON,N,,100,N,Y
HSC,PJC,PJC,STANDARDIZED PROJECTION,N,,100,N,N
HSC,CEN,CEN,Census,N,,100,N,N
HSC,PRDRLSCA,PRDRLSCA,Period Release,N,,100,N,Y
HSC,PRDRLS,PRDRLS,PRD_RLS,N,,100,N,Y
HSC,PNLMTCHCA,PNLMTCHXML,PANEL MATCH XML FILES,N,,100,N,N
HSC,PNLMTCHCA,PNLMTCHDAT,PANEL MATCH DATA FILES,N,,100,N,Y
HSC,BKSS,BKSS,BASKET_SEGMENT_SAFEWAY,N,,100,N,N
HSC,HBS,TMK,HB_SEGMENT_KRAFT,N,,100,N,N
HSC,HBS,TMVK,HB_SEGMENT_KRAFT,N,,100,N,N
HSC,HBS,TSVK,HB_SEGMENT_KRAFT,N,,100,N,Y
HSC,HBS,TMM,HB_SEGMENT_MONDELEZ,N,,100,N,Y
HSC,HBS,TMVM,HB_SEGMENT_MONDELEZ,N,,100,N,N
HSC,HBS,TSVM,HB_SEGMENT_MONDELEZ,N,,100,N,N
HSC,HBSS,TMS,HB_SEG_SAFEWAY,N,,100,N,N
HSC,HBSS,TMVS,HB_SEG_SAFEWAY,N,,100,N,N
HSC,HBSS,TSVS,HB_SEG_SAFEWAY,N,,100,N,
HSC,BKST,BKST,BASKET_SEGMENT_TARGET,N,,100,N,
HSC,HBST,TMT,HB_SEGMENT_TARGET,N,,100,N,
HSC,HBST,TMVT,HB_SEGMENT_TARGET,N,,100,N,
HSC,HBST,TSVT,HB_SEGMENT_TARGET,N,,100,N,
HSC,BKSU,BKSU,BASKET_SEGMENT_SUPER,N,,100,N,
HSC,HBSU,TMU,HB_SEGMENT_SUPERVALUE,N,,100,N,
HSC,HBSU,TMVU,HB_SEGMENT_SUPERVALUE,N,,100,N,
HSC,HBSU,TSVU,HB_SEGMENT_SUPERVALUE,N,,100,N,
HSC,BKSM,BKSM,BASKET_SEGMENT_MARS,N,,100,N,
HSC,HBSMA,TMMA,HB_SEGMENT_MARS,N,,100,N,
HSC,HBSMA,TMVMA,HB_SEGMENT_MARS,N,,100,N,
