SUB,Data Type?,Group?,# Files?,Platform?
LCD,AGP_RSTMT,AGP RESTATEMENT FILES,1,LOYALTY
LCD,HHA,HOUSEHOLD ADHOC FILES,1,LOYALTY
LCD,HHA_RSTMT,HOUSEHOLD ADHOC RESTATE FILES,1,LOYALTY
LCD,HHS,HOUSEHOLD SEGMENT FILES,1,LOYALTY
LCD,HHS_RSTMT,HOUSEHOLD SEGMENT RESTAT FILES,1,LOYALTY
LCD,HOU,HOUSEHOLD FILES,1,LOYALTY
LCD,IDC,IDENTIFYING CARD FILES,1,LOYALTY
LCD,NON,NONSTD_ARCH TEST,1,LOYALTY
LCD,PCR,PROMOTION CALENDAR,1,LOYALTY
LCD,PRO,PRODUCT FILES,1,LOYALTY
LCD,PRS,PRODUCT ADHOC SEGMENT FILES,1,LOYALTY
LCD,STO,STORE FILES,1,LOYALTY
LCD,STS,STORE ADHOC SEGMENT FILES,1,LOYALTY
LCD,TLOG,TLOG FILES,4,LOYALTY
LCD,TLOG_RSTMT,TLOG RESTATEMENT FILES,4,LOYALTY
LCD,TPD,TIME PERIOD FILES,1,LOYALTY
LCD,RGP,RGP REGULAR FILES,1,LOYALTY
LCD,RGP_RSTMT,RGP RESTATEMENT FILES,1,LOYALTY
LCD,LNE,LANE,1,LOYALTY
LCD,PRM,PROMOTION FILES,3,LOYALTY
LCD,SCH,SCHEMATIC FILES,1,LOYALTY
LCD,OOS,OUT OF STOCK FILES,1,LOYALTY
LCD,PRMODTL,EXPLODED PROMOTION DETAIL FILE,1,LOYALTY
LCD,PRMTN,PROMOTION PRIMARY FILES,2,LOYALTY
LCD,PRMO,PROMOTION FILES,1,LOYALTY
LCD,PRDCCGRP,PRODUCT CUSTOM GROUP,1,LOYALTY
LCD,PODCGRP,STORE CUSTOM GROUP,1,LOYALTY
TCG,TCGDCB,COOP DATACUBE,2,DATACUBE
TCG,PROCHR,PRODUCT_CHAR,2,LOYALTY
TCG,PROCHRSTD,PRODUCT_STD,1,LOYALTY
TCG,AGP,AGP REGULAR FILES,1,LOYALTY
TCG,AGP_RSTMT,AGP RESTATEMENT FILES,1,LOYALTY
TCG,HHA,HOUSEHOLD ADHOC FILES,1,LOYALTY
TCG,HHA_RSTMT,HOUSEHOLD ADHOC RESTATE FILES,1,LOYALTY
TCG,HHS,HOUSEHOLD SEGMENT FILES,1,LOYALTY
TCG,HHS_RSTMT,HOUSEHOLD SEGMENT RESTAT FILES,1,LOYALTY
TCG,HOU,HOUSEHOLD FILES,1,LOYALTY
TCG,IDC,IDENTIFYING CARD FILES,1,LOYALTY
TCG,NON,NONSTD_ARCH TEST,1,LOYALTY
TCG,PCR,PROMOTION CALENDAR,1,LOYALTY
TCG,PRO,PRODUCT FILES,1,LOYALTY
TCG,PRS,PRODUCT ADHOC SEGMENT FILES,1,LOYALTY
TCG,STO,STORE FILES,1,LOYALTY
TCG,STS,STORE ADHOC SEGMENT FILES,1,LOYALTY
TCG,TLOG,TLOG FILES,2,LOYALTY
TCG,TLOG_RSTMT,TLOG RESTATEMENT FILES,2,LOYALTY
TCG,TPD,TIME PERIOD FILES,1,LOYALTY
TCG,RGP,RGP REGULAR FILES,1,LOYALTY
TCG,RGP_RSTMT,RGP RESTATEMENT FILES,1,LOYALTY
TCG,LNE,LANE,1,LOYALTY
TCG,PRM,PROMOTION FILES,3,LOYALTY
TCG,SCH,SCHEMATIC FILES,1,LOYALTY
TCG,OOS,OUT OF STOCK FILES,1,LOYALTY
TCG,BKSC,BASKET SEGMENT,1,LOYALTY
