DIM,DIM_DESC,DIM_ID,DIM_DESC
BAS,BASKET,8,BASKET
PRO,PRODUCT,2,PRODUCT
PER,PERIOD,3,PERIOD
HOU,HOUSEHOLD,9,HOUSEHOLD
STO,STORE,6,STORE
PSN,PERSON,10,PERSON
IDC,IDENTIFYING_CARD,11,IDENTIFYING_CARD
LNE,LANE,12,LANE
MKT,MARKET,13,MARKET
OTLT,OUTLET,14,OUTLET
PNLTYP,PANELIST_TYPE,15,PANELIST_TYPE
TRPTYP,TRIP_TYPE,16,TRIP_TYPE
STTYP,STATIC_TYPE,17,STATIC_TYPE
PRMODTL,PROMODETAIL,26,PROMODETAIL
PRMO,PROMOTION,25,PROMOTION
